trade_id,timestamp_entry,direction,session,entry_price,sl,tp1,tp2,lot_leg1,lot_leg2,lot_runner,iceberg_aligned,gate_score,gate_reason,gate_v4_status,leg1_result,leg1_exit_price,leg1_exit_time,leg2_result,leg2_exit_price,leg2_exit_time,leg3_result,leg3_exit_price,leg3_exit_time,total_pnl_usd,shield_activated,duration_minutes,mae_pts,mfe_pts
18,2026-04-01T06:39:00+00:00,SHORT,Asian,4725.15,4745.15,4705.15,4675.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+4,UNKNOWN,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,-11.5,False,8.0,22.899999999999636,0.0
19,2026-04-01T10:45:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,4,iceberg large_order sc=+4,UNKNOWN,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,-16.1,False,54.0,22.600000000000364,8.699999999999818
20,2026-04-01T11:04:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,-16.1,False,35.0,22.600000000000364,2.199999999999818
21,2026-04-01T11:05:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,-16.1,False,34.0,22.600000000000364,2.199999999999818
22,2026-04-01T11:15:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,5,iceberg absorption sc=+5,UNKNOWN,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,-16.1,False,24.0,22.600000000000364,0.0
23,2026-04-01T11:22:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,5,iceberg absorption sc=+5,UNKNOWN,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,SL_HIT,4786.95,2026-04-01T11:39:00+00:00,-16.1,False,17.0,22.600000000000364,0.0
24,2026-04-01T12:18:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,6,iceberg large_order sc=+6,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,6.0,True,60.0,17.300000000000182,20.0
25,2026-04-01T12:20:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,7,iceberg large_order sc=+7,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,6.0,True,58.0,17.300000000000182,20.0
26,2026-04-01T12:30:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.02,0.02,0.01,False,0,sinais neutros -- nivel estrutural valido,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,4.0,True,48.0,17.300000000000182,20.0
27,2026-04-01T12:37:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,6,iceberg dom sc=+6,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,6.0,True,41.0,17.300000000000182,20.0
28,2026-04-01T12:40:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,8,iceberg absorption sc=+8,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,6.0,True,38.0,17.300000000000182,20.0
29,2026-04-01T12:45:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,TP1_HIT,4743.95,2026-04-01T13:01:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,SHIELD_HIT,4763.95,2026-04-01T13:18:00+00:00,6.0,True,33.0,11.150000000000546,20.0
30,2026-04-01T13:18:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,2,iceberg sweep sc=+2,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-16.1,False,85.0,20.300000000000182,11.900000000000546
31,2026-04-01T13:20:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,5,iceberg absorption sc=+5,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-16.1,False,83.0,20.300000000000182,11.900000000000546
32,2026-04-01T13:25:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-16.1,False,78.0,20.300000000000182,11.900000000000546
33,2026-04-01T13:33:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,8,iceberg absorption sc=+8,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-16.1,False,70.0,20.300000000000182,11.900000000000546
34,2026-04-01T13:35:00+00:00,SHORT,London,4763.95,4783.95,4743.95,4713.95,0.03,0.03,0.01,True,8,iceberg absorption sc=+8,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-16.1,False,68.0,20.300000000000182,11.900000000000546
35,2026-04-01T14:00:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,43.0,20.300000000000182,11.900000000000546
36,2026-04-01T14:06:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,37.0,20.300000000000182,3.9999999999990905
37,2026-04-01T14:10:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,6,iceberg absorption sc=+6,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,33.0,20.300000000000182,3.9999999999990905
38,2026-04-01T14:26:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,4,iceberg absorption sc=+4,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,17.0,20.300000000000182,3.9999999999990905
39,2026-04-01T14:32:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,8,iceberg absorption sc=+8,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,11.0,20.300000000000182,0.75
40,2026-04-01T14:36:00+00:00,SHORT,NY,4763.95,4783.95,4743.95,4713.95,0.04,0.03,0.01,True,10,iceberg absorption sc=+10,UNKNOWN,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,SL_HIT,4786.95,2026-04-01T14:43:00+00:00,-18.4,False,7.0,20.300000000000182,0.0
