event_type,minute_offset,n_events,mean_cum_ret_bps,mean_abs_cum_ret_bps,std_cum_ret_bps,p90_abs
FOMC,26,24,-6.071301967925148,15.170252863642292,23.750160687009313,16.735855323164238
FOMC,27,24,-6.445471840395011,14.565860173430162,22.464176879741053,22.025605398259703
FOMC,28,24,-7.282052426328215,13.841379032873228,21.63183102066023,21.420532625784578
FOMC,29,24,-7.88850450489556,14.106540579914515,21.99797880132302,22.084777903818907
FOMC,30,24,-7.65124720922832,16.436959048993273,25.064487623124535,32.59656151937018
FOMC,31,24,-9.853671929127746,14.942905304926036,22.664377703750315,26.589889433097813
FOMC,32,24,-10.012754595872762,15.590787316932854,20.280211942732585,30.130339984978715
FOMC,33,24,-9.053986364658122,16.85545260337859,21.210007107629757,29.095256546229464
FOMC,34,24,-7.59385675028155,15.785054596155478,20.706287754463624,23.44591383293348
FOMC,35,24,-5.768060477691997,15.298255953142457,20.82418762839226,24.56333898432228
FOMC,36,24,-9.490656578577441,19.649129837594156,23.423824337716745,37.30449897013766
FOMC,37,24,-8.86907538230966,20.055682405763083,24.66864973003646,39.073696626219956
FOMC,38,24,-7.368236391347658,20.21622202039372,24.14163147355369,41.06357673612381
FOMC,39,24,-11.611411844100287,24.088690536771633,27.668237918077427,46.80685388039607
FOMC,40,24,-9.802195850292886,21.12918359718145,25.641306798233046,45.12860861070522
FOMC,41,24,-12.930885114242663,22.472400253124718,26.89427772417552,43.058209316719775
FOMC,42,24,-15.616389761810197,22.585285694147377,27.447547728075094,46.28757501547454
FOMC,43,24,-16.433892838912204,24.030041466857796,29.67618571681095,50.59339594714607
FOMC,44,24,-16.767563414265137,24.979838577561576,29.529248150900614,49.24782690599927
FOMC,45,24,-17.632055771181253,26.128657213812385,31.852701584609626,58.93592400226133
FOMC,46,24,-17.959976977630447,27.146631486169397,32.83684973649554,68.08579348206445
FOMC,47,24,-15.683687029299692,23.42660110359098,28.830123312770517,50.59339594714607
FOMC,48,24,-18.158539006663023,25.415634353593333,30.427016123986913,58.66681019403131
FOMC,49,24,-19.307680797837254,26.818170471071085,32.7579945343529,68.89313490675231
