ts,direction,level
2023-10-18 04:00:00+00:00,1,1942.9
2023-10-23 00:00:00+00:00,-1,1988.5
2023-10-23 08:00:00+00:00,1,1986.4499999999998
2023-10-24 12:00:00+00:00,-1,1983.45
2023-10-27 20:00:00+00:00,1,2005.3000000000002
2023-10-30 08:00:00+00:00,-1,2009.05
2023-11-09 16:00:00+00:00,1,1958.15
2023-11-10 12:00:00+00:00,-1,1955.9499999999998
2023-11-13 20:00:00+00:00,1,1946.25
2023-11-15 16:00:00+00:00,-1,1970.35
2023-11-16 08:00:00+00:00,1,1966.0500000000002
2023-11-20 12:00:00+00:00,-1,1978.0
2023-11-20 20:00:00+00:00,1,1977.5
2023-11-22 16:00:00+00:00,-1,1999.1
2023-11-23 04:00:00+00:00,1,1993.75
2023-12-04 08:00:00+00:00,-1,2099.6
2023-12-05 00:00:00+00:00,1,2050.7
2023-12-05 16:00:00+00:00,-1,2039.1999999999998
2023-12-13 20:00:00+00:00,1,2014.95
2023-12-15 16:00:00+00:00,-1,2051.15
2023-12-18 04:00:00+00:00,1,2035.0
2023-12-22 20:00:00+00:00,-1,2067.6000000000004
2023-12-26 04:00:00+00:00,1,2070.05
2023-12-28 12:00:00+00:00,-1,2092.7
2024-01-02 04:00:00+00:00,1,2076.75
2024-01-02 16:00:00+00:00,-1,2076.85
2024-01-11 04:00:00+00:00,1,2033.6
2024-01-11 16:00:00+00:00,-1,2034.4
2024-01-12 00:00:00+00:00,1,2034.15
2024-01-16 04:00:00+00:00,-1,2056.0
2024-01-18 20:00:00+00:00,1,2020.9499999999998
2024-01-22 04:00:00+00:00,-1,2028.75
2024-01-23 04:00:00+00:00,1,2025.75
2024-01-24 16:00:00+00:00,-1,2025.0
2024-01-26 12:00:00+00:00,1,2029.0
2024-02-02 16:00:00+00:00,-1,2062.7
2024-02-06 16:00:00+00:00,1,2045.9
2024-02-09 16:00:00+00:00,-1,2042.95
2024-02-13 08:00:00+00:00,1,2036.3000000000002
2024-02-13 16:00:00+00:00,-1,2024.35
2024-02-15 12:00:00+00:00,1,2006.6999999999998
2024-02-20 20:00:00+00:00,-1,2036.6999999999998
2024-02-21 04:00:00+00:00,1,2037.9
2024-02-22 16:00:00+00:00,-1,2035.9
2024-02-23 16:00:00+00:00,1,2036.75
2024-02-26 00:00:00+00:00,-1,2044.5500000000002
2024-02-27 00:00:00+00:00,1,2040.1
2024-02-27 20:00:00+00:00,-1,2041.05
2024-02-28 16:00:00+00:00,1,2039.15
2024-03-12 04:00:00+00:00,-1,2186.1
2024-03-13 16:00:00+00:00,1,2172.3
2024-03-14 04:00:00+00:00,-1,2177.1499999999996
2024-03-18 12:00:00+00:00,1,2157.3999999999996
2024-03-19 08:00:00+00:00,-1,2160.8
2024-03-20 20:00:00+00:00,1,2177.1
2024-03-21 16:00:00+00:00,-1,2192.5
2024-03-26 12:00:00+00:00,1,2184.3999999999996
2024-04-01 16:00:00+00:00,-1,2265.7
2024-04-02 00:00:00+00:00,1,2266.1499999999996
2024-04-03 08:00:00+00:00,-1,2296.55
2024-04-03 16:00:00+00:00,1,2298.75
2024-04-04 08:00:00+00:00,-1,2315.85
2024-04-05 16:00:00+00:00,1,2327.55
2024-04-12 20:00:00+00:00,-1,2380.55
2024-04-15 00:00:00+00:00,1,2363.05
2024-04-16 08:00:00+00:00,-1,2393.6499999999996
2024-04-16 16:00:00+00:00,1,2394.0
2024-04-17 20:00:00+00:00,-1,2391.6
2024-04-18 08:00:00+00:00,1,2391.05
2024-04-22 00:00:00+00:00,-1,2401.1499999999996
2024-04-23 16:00:00+00:00,1,2329.1000000000004
2024-04-26 16:00:00+00:00,-1,2354.2
2024-05-01 12:00:00+00:00,1,2302.65
2024-05-02 08:00:00+00:00,-1,2323.6
2024-05-06 04:00:00+00:00,1,2315.85
2024-05-13 04:00:00+00:00,-1,2364.65
2024-05-15 08:00:00+00:00,1,2367.25
2024-05-20 12:00:00+00:00,-1,2435.25
2024-05-24 08:00:00+00:00,1,2336.75
2024-05-28 08:00:00+00:00,-1,2349.85
2024-05-28 16:00:00+00:00,1,2351.55
2024-05-29 08:00:00+00:00,-1,2353.65
2024-05-30 16:00:00+00:00,1,2350.15
2024-05-31 16:00:00+00:00,-1,2359.3
2024-06-03 16:00:00+00:00,1,2357.95
2024-06-04 08:00:00+00:00,-1,2361.65
2024-06-05 16:00:00+00:00,1,2363.3999999999996
2024-06-07 12:00:00+00:00,-1,2374.5
2024-06-10 12:00:00+00:00,1,2316.05
2024-06-11 04:00:00+00:00,-1,2324.2
2024-06-11 12:00:00+00:00,1,2323.55
2024-06-13 04:00:00+00:00,-1,2334.8999999999996
2024-06-14 08:00:00+00:00,1,2326.8500000000004
2024-06-17 00:00:00+00:00,-1,2345.25
2024-06-18 16:00:00+00:00,1,2335.55
2024-06-21 16:00:00+00:00,-1,2358.6000000000004
2024-06-27 08:00:00+00:00,1,2311.7
2024-07-08 08:00:00+00:00,-1,2387.8
2024-07-10 04:00:00+00:00,1,2372.8
2024-07-10 20:00:00+00:00,-1,2379.7
2024-07-11 04:00:00+00:00,1,2381.3
2024-07-12 04:00:00+00:00,-1,2415.9
2024-07-12 16:00:00+00:00,1,2415.25
2024-07-17 16:00:00+00:00,-1,2470.25
2024-07-18 04:00:00+00:00,1,2466.65
2024-07-18 20:00:00+00:00,-1,2454.3
2024-07-22 00:00:00+00:00,1,2404.2
2024-07-24 20:00:00+00:00,-1,2407.65
2024-07-26 12:00:00+00:00,1,2395.05
2024-07-29 16:00:00+00:00,-1,2431.35
2024-07-30 04:00:00+00:00,1,2430.05
2024-08-02 16:00:00+00:00,-1,2492.1000000000004
2024-08-08 04:00:00+00:00,1,2429.3
2024-08-13 04:00:00+00:00,-1,2507.9
2024-08-15 04:00:00+00:00,1,2487.3
2024-08-22 04:00:00+00:00,-1,2547.45
2024-08-23 04:00:00+00:00,1,2524.5
2024-08-28 04:00:00+00:00,-1,2555.1
2024-08-29 04:00:00+00:00,1,2545.0
2024-08-30 16:00:00+00:00,-1,2543.45
2024-09-04 16:00:00+00:00,1,2522.4
2024-09-06 16:00:00+00:00,-1,2540.0
2024-09-09 16:00:00+00:00,1,2528.3500000000004
2024-09-18 20:00:00+00:00,-1,2590.6
2024-09-19 08:00:00+00:00,1,2599.0
2024-09-27 16:00:00+00:00,-1,2679.55
2024-09-29 20:00:00+00:00,1,2678.9
2024-09-30 12:00:00+00:00,-1,2669.15
2024-10-01 04:00:00+00:00,1,2658.25
2024-10-02 04:00:00+00:00,-1,2678.35
2024-10-04 04:00:00+00:00,1,2678.3
2024-10-04 16:00:00+00:00,-1,2675.25
2024-10-11 00:00:00+00:00,1,2649.15
2024-10-21 16:00:00+00:00,-1,2741.45
2024-10-22 04:00:00+00:00,1,2740.3
2024-10-23 16:00:00+00:00,-1,2749.95
2024-10-24 04:00:00+00:00,1,2735.25
2024-10-25 04:00:00+00:00,-1,2745.4
2024-10-25 16:00:00+00:00,1,2744.25
2024-10-28 00:00:00+00:00,-1,2751.95
2024-10-29 04:00:00+00:00,1,2758.75
2024-10-31 08:00:00+00:00,-1,2794.3
2024-11-07 16:00:00+00:00,1,2684.8999999999996
2024-11-11 04:00:00+00:00,-1,2683.95
2024-11-13 04:00:00+00:00,1,2608.45
2024-11-13 20:00:00+00:00,-1,2593.15
2024-11-14 16:00:00+00:00,1,2568.8
2024-11-20 08:00:00+00:00,-1,2634.45
2024-11-20 16:00:00+00:00,1,2640.15
2024-11-25 04:00:00+00:00,-1,2684.05
2024-11-26 12:00:00+00:00,1,2636.6
2024-12-02 00:00:00+00:00,-1,2671.15
2024-12-02 12:00:00+00:00,1,2658.05
2024-12-12 16:00:00+00:00,-1,2725.3500000000004
2024-12-20 16:00:00+00:00,1,2631.75
2024-12-23 12:00:00+00:00,-1,2636.3500000000004
2024-12-25 20:00:00+00:00,1,2633.35
2024-12-27 12:00:00+00:00,-1,2646.8500000000004
2024-12-31 16:00:00+00:00,1,2633.1
2025-01-03 16:00:00+00:00,-1,2662.9
2025-01-09 12:00:00+00:00,1,2684.95
2025-01-13 12:00:00+00:00,-1,2704.5
2025-01-15 08:00:00+00:00,1,2694.95
2025-01-17 08:00:00+00:00,-1,2742.05
2025-01-17 16:00:00+00:00,1,2741.6499999999996
2025-01-19 20:00:00+00:00,-1,2741.3999999999996
2025-01-20 04:00:00+00:00,1,2741.85
2025-01-20 16:00:00+00:00,-1,2739.85
2025-01-21 04:00:00+00:00,1,2735.7
2025-01-27 04:00:00+00:00,-1,2766.25
2025-01-28 16:00:00+00:00,1,2754.7
2025-01-31 20:00:00+00:00,-1,2838.7
2025-02-03 12:00:00+00:00,1,2829.4
2025-02-12 04:00:00+00:00,-1,2921.9
2025-02-13 04:00:00+00:00,1,2934.85
2025-02-14 16:00:00+00:00,-1,2936.2
2025-02-18 04:00:00+00:00,1,2916.1499999999996
2025-02-19 16:00:00+00:00,-1,2949.65
2025-02-20 00:00:00+00:00,1,2949.7
2025-02-20 16:00:00+00:00,-1,2964.05
2025-02-26 00:00:00+00:00,1,2927.1000000000004
2025-02-27 04:00:00+00:00,-1,2922.85
2025-03-03 12:00:00+00:00,1,2878.8
2025-03-06 08:00:00+00:00,-1,2921.5
2025-03-06 16:00:00+00:00,1,2919.4
2025-03-07 00:00:00+00:00,-1,2918.65
2025-03-07 08:00:00+00:00,1,2920.35
2025-03-10 20:00:00+00:00,-1,2898.95
2025-03-11 04:00:00+00:00,1,2895.25
2025-03-20 08:00:00+00:00,-1,3053.35
2025-03-27 04:00:00+00:00,1,3031.2
2025-04-01 16:00:00+00:00,-1,3153.25
2025-04-08 04:00:00+00:00,1,3004.95
2025-04-08 20:00:00+00:00,-1,3010.75
2025-04-09 04:00:00+00:00,1,3009.15
2025-04-22 16:00:00+00:00,-1,3443.35
2025-04-24 00:00:00+00:00,1,3321.55
2025-04-25 04:00:00+00:00,-1,3343.7
2025-04-25 20:00:00+00:00,1,3314.6499999999996
2025-04-29 04:00:00+00:00,-1,3338.1
2025-05-02 04:00:00+00:00,1,3253.75
2025-05-02 16:00:00+00:00,-1,3254.95
2025-05-05 04:00:00+00:00,1,3260.45
2025-05-08 08:00:00+00:00,-1,3366.45
2025-05-13 08:00:00+00:00,1,3250.0
2025-05-14 04:00:00+00:00,-1,3247.85
2025-05-15 12:00:00+00:00,1,3168.8999999999996
2025-05-16 12:00:00+00:00,-1,3199.8500000000004
2025-05-16 20:00:00+00:00,1,3193.15
2025-05-22 12:00:00+00:00,-1,3319.7
2025-05-23 08:00:00+00:00,1,3315.85
2025-05-25 20:00:00+00:00,-1,3356.6
2025-05-26 20:00:00+00:00,1,3342.1000000000004
2025-05-27 04:00:00+00:00,-1,3341.8500000000004
2025-05-29 12:00:00+00:00,1,3317.55
2025-05-30 04:00:00+00:00,-1,3332.3500000000004
2025-06-02 00:00:00+00:00,1,3322.0
2025-06-03 04:00:00+00:00,-1,3398.05
2025-06-04 16:00:00+00:00,1,3392.2
2025-06-05 16:00:00+00:00,-1,3389.0
2025-06-09 16:00:00+00:00,1,3346.8
2025-06-10 00:00:00+00:00,-1,3346.75
2025-06-11 04:00:00+00:00,1,3351.75
2025-06-16 08:00:00+00:00,-1,3445.3500000000004
2025-06-20 16:00:00+00:00,1,3377.8999999999996
2025-06-23 04:00:00+00:00,-1,3383.55
2025-06-25 20:00:00+00:00,1,3343.8
2025-06-27 00:00:00+00:00,-1,3335.85
2025-06-30 20:00:00+00:00,1,3308.35
2025-07-03 16:00:00+00:00,-1,3349.15
2025-07-04 04:00:00+00:00,1,3343.7
2025-07-07 00:00:00+00:00,-1,3340.6
2025-07-07 16:00:00+00:00,1,3326.0
2025-07-08 16:00:00+00:00,-1,3324.3999999999996
2025-07-09 16:00:00+00:00,1,3310.3
2025-07-14 16:00:00+00:00,-1,3367.1
2025-07-15 04:00:00+00:00,1,3360.75
2025-07-15 16:00:00+00:00,-1,3350.65
2025-07-16 04:00:00+00:00,1,3339.0
2025-07-17 08:00:00+00:00,-1,3340.15
2025-07-17 16:00:00+00:00,1,3339.2
2025-07-22 04:00:00+00:00,-1,3407.0
2025-07-22 16:00:00+00:00,1,3421.35
2025-07-23 16:00:00+00:00,-1,3419.45
2025-07-30 00:00:00+00:00,1,3352.8
2025-07-30 16:00:00+00:00,-1,3368.45
2025-07-31 04:00:00+00:00,1,3339.9
2025-08-08 20:00:00+00:00,-1,3466.0
2025-08-15 04:00:00+00:00,1,3385.8500000000004
2025-08-18 16:00:00+00:00,-1,3385.15
2025-08-20 08:00:00+00:00,1,3362.25
2025-08-21 04:00:00+00:00,-1,3386.55
2025-08-22 16:00:00+00:00,1,3393.05
2025-08-25 00:00:00+00:00,-1,3415.55
2025-08-26 04:00:00+00:00,1,3412.25
2025-08-27 04:00:00+00:00,-1,3434.55
2025-08-27 16:00:00+00:00,1,3435.75
2025-08-29 04:00:00+00:00,-1,3473.6
2025-08-29 16:00:00+00:00,1,3490.5
2025-09-04 04:00:00+00:00,-1,3604.8
2025-09-05 16:00:00+00:00,1,3628.7
2025-09-07 20:00:00+00:00,-1,3641.5
2025-09-08 08:00:00+00:00,1,3642.8
2025-09-11 04:00:00+00:00,-1,3676.05
2025-09-12 04:00:00+00:00,1,3681.1499999999996
2025-09-17 04:00:00+00:00,-1,3724.55
2025-09-19 16:00:00+00:00,1,3695.8500000000004
2025-09-24 16:00:00+00:00,-1,3785.4
2025-09-26 16:00:00+00:00,1,3789.3999999999996
2025-10-01 16:00:00+00:00,-1,3901.95
2025-10-03 16:00:00+00:00,1,3896.6
2025-10-09 16:00:00+00:00,-1,4043.8500000000004
2025-10-13 00:00:00+00:00,1,4040.3
2025-10-17 16:00:00+00:00,-1,4278.5
2025-10-20 12:00:00+00:00,1,4284.55
2025-10-21 04:00:00+00:00,-1,4363.25
2025-10-24 16:00:00+00:00,1,4104.9
2025-10-27 12:00:00+00:00,-1,4065.3
2025-10-28 16:00:00+00:00,1,3955.0
2025-10-29 20:00:00+00:00,-1,3985.6000000000004
2025-10-30 20:00:00+00:00,1,4028.8
2025-10-31 20:00:00+00:00,-1,4019.8500000000004
2025-11-05 04:00:00+00:00,1,3959.95
2025-11-06 16:00:00+00:00,-1,4008.6
2025-11-10 00:00:00+00:00,1,4016.8
2025-11-11 16:00:00+00:00,-1,4133.4
2025-11-12 16:00:00+00:00,1,4163.05
2025-11-13 16:00:00+00:00,-1,4219.6
2025-11-18 12:00:00+00:00,1,4026.45
2025-11-21 04:00:00+00:00,-1,4067.75
2025-11-21 16:00:00+00:00,1,4061.15
2025-12-04 04:00:00+00:00,-1,4230.05
2025-12-05 08:00:00+00:00,1,4243.200000000001
2025-12-05 20:00:00+00:00,-1,4244.5
2025-12-10 20:00:00+00:00,1,4237.85
2025-12-15 16:00:00+00:00,-1,4359.95
2025-12-16 16:00:00+00:00,1,4319.0
2025-12-29 00:00:00+00:00,-1,4552.2
2025-12-30 04:00:00+00:00,1,4367.45
2026-01-02 16:00:00+00:00,-1,4368.8
2026-01-05 00:00:00+00:00,1,4362.2
2026-01-07 04:00:00+00:00,-1,4488.925
