timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-04-02 11:00:00+00:00,4647.1,4656.8,4639.1,4640.8,1476.0,False,True,0,-1,0.41600000000000004,1,11.5,True,False,True,False,False,C_new_040
2026-04-02 17:30:00+00:00,4678.1,4686.3,4672.7,4675.7,1786.0,True,True,-1,-1,0.41600000000000004,1,19.5,True,False,True,False,False,C_new_040
2026-04-07 11:00:00+00:00,4677.1,4681.9,4653.9,4673.0,4588.0,True,True,-1,-1,0.498,1,18.199999999999818,False,True,True,False,False,C_new_040
2026-04-07 12:00:00+00:00,4685.2,4696.3,4675.8,4691.2,2613.0,True,True,1,1,0.498,-1,7.599999999999454,False,True,True,False,False,C_new_040
2026-04-07 16:30:00+00:00,4687.6,4689.2,4681.9,4682.4,1344.0,False,True,0,1,0.5920000000000001,-1,-19.300000000000182,True,False,True,False,True,C_new_040
2026-04-08 09:00:00+00:00,4821.9,4834.0,4821.2,4825.4,2543.0,False,True,0,-1,0.47400000000000003,1,-15.599999999999454,True,True,False,False,False,C_new_040
2026-04-13 14:30:00+00:00,4738.3,4747.5,4731.9,4742.2,3626.0,False,True,0,-1,0.47400000000000003,1,-5.300000000000182,True,True,False,False,False,C_new_040
2026-04-14 11:30:00+00:00,4801.0,4805.6,4792.3,4797.1,2637.0,False,True,0,1,0.47400000000000003,-1,9.400000000000546,True,True,False,False,False,C_new_040
2026-04-16 05:00:00+00:00,4855.5,4861.3,4854.4,4855.5,1355.0,False,True,0,1,0.454,-1,17.5,False,True,False,False,True,C_new_040
2026-04-20 12:00:00+00:00,4830.8,4842.9,4822.7,4825.9,6715.0,False,True,0,1,0.454,-1,-19.100000000000364,False,True,False,False,True,C_new_040
2026-04-20 12:30:00+00:00,4825.7,4829.7,4818.8,4823.3,3102.0,True,True,-1,-1,0.47400000000000003,1,17.5,True,True,False,False,False,C_new_040
