timestamp,open,high,low,close,volume,trend_a,trend_b,trend_a_dir,trend_b_dir,logic_c_score,entry_dir,pnl_60m,F1_B,F2_B,F3_B,F5_A,F5_B,arm
2026-02-06 06:30:00+00:00,4871.9,4885.9,4841.0,4865.6,2986.0,True,True,-1,-1,0.756,1,-3.300000000000182,True,False,True,False,False,A_old_040
2026-02-09 06:00:00+00:00,5058.6,5067.6,5035.1,5047.5,2139.0,False,True,0,-1,0.543,1,-17.5,False,False,True,False,False,A_old_040
2026-02-09 06:30:00+00:00,5045.6,5062.0,5042.6,5052.4,1644.0,False,True,0,-1,0.543,1,-25.199999999999818,False,False,True,False,False,A_old_040
2026-02-09 09:00:00+00:00,5048.7,5062.6,5038.0,5044.8,1971.0,False,True,0,-1,0.543,1,-32.30000000000018,False,False,True,False,False,A_old_040
2026-02-09 14:00:00+00:00,5028.4,5046.4,5023.8,5042.9,2508.0,True,True,1,1,0.543,-1,-13.100000000000364,False,False,True,False,False,A_old_040
2026-02-10 16:00:00+00:00,5042.7,5047.3,5028.2,5033.1,4000.0,True,True,-1,-1,0.543,1,26.899999999999636,False,False,True,False,False,A_old_040
2026-02-10 16:30:00+00:00,5032.4,5049.7,5031.0,5046.5,2070.0,False,True,0,1,0.756,-1,-3.199999999999818,True,False,True,False,False,A_old_040
2026-02-10 17:00:00+00:00,5046.4,5062.0,5043.6,5060.0,2201.0,True,True,1,1,0.756,-1,29.399999999999636,True,False,True,False,False,A_old_040
2026-02-10 17:30:00+00:00,5060.0,5064.0,5048.3,5049.7,1585.0,False,True,0,1,0.853,-1,13.699999999999818,True,False,False,False,True,A_old_040
2026-02-10 18:30:00+00:00,5031.2,5039.9,5027.2,5036.0,1843.0,False,True,0,-1,0.543,1,14.800000000000182,False,False,True,False,False,A_old_040
2026-02-10 20:30:00+00:00,5051.1,5068.9,5050.0,5052.8,2625.0,True,True,1,1,1.851,-1,4.900000000000546,False,True,True,True,True,A_old_040
2026-02-11 01:30:00+00:00,5060.5,5075.9,5055.2,5075.0,1144.0,False,True,0,1,0.543,-1,-4.199999999999818,False,False,True,False,False,A_old_040
2026-02-11 02:30:00+00:00,5064.8,5081.0,5064.7,5079.2,1104.0,False,True,0,1,0.543,-1,0.1999999999998181,False,False,True,False,False,A_old_040
2026-02-11 03:30:00+00:00,5080.3,5085.0,5077.1,5079.0,886.0,False,True,0,-1,0.756,1,-8.399999999999636,True,False,True,False,False,A_old_040
2026-02-12 00:00:00+00:00,5083.5,5090.0,5071.0,5081.5,1584.0,True,True,-1,-1,0.8170000000000001,1,-1.5,False,True,True,False,False,A_old_040
2026-02-12 14:00:00+00:00,5098.2,5101.1,5078.0,5082.6,4787.0,False,True,0,-1,0.543,1,5.799999999999272,False,False,True,False,False,A_old_040
2026-02-12 15:30:00+00:00,5088.3,5098.0,5082.8,5083.9,3800.0,False,True,0,1,1.127,-1,107.59999999999945,True,True,False,False,True,A_old_040
2026-02-16 03:00:00+00:00,5013.7,5019.5,5007.1,5014.2,1007.0,True,True,-1,-1,0.543,1,-18.599999999999454,False,False,True,False,False,A_old_040
2026-02-16 06:30:00+00:00,5011.6,5022.1,5009.3,5013.5,741.0,True,True,1,1,0.543,-1,-13.300000000000182,False,False,True,False,False,A_old_040
2026-02-16 08:30:00+00:00,5026.6,5030.2,5023.4,5027.7,705.0,False,True,0,1,0.543,-1,-5.600000000000364,False,False,True,False,False,A_old_040
2026-02-16 09:30:00+00:00,5033.8,5037.5,5028.8,5033.3,790.0,False,True,0,1,0.543,-1,6.5,False,False,True,False,False,A_old_040
2026-02-16 12:30:00+00:00,5016.4,5028.7,5015.7,5022.7,991.0,False,True,0,-1,0.543,1,-5.399999999999636,False,False,True,False,False,A_old_040
2026-02-17 04:30:00+00:00,4977.6,4979.0,4967.6,4970.7,429.0,False,True,0,-1,0.543,1,-63.80000000000018,False,False,True,False,False,A_old_040
2026-02-17 12:30:00+00:00,4962.0,4963.6,4948.5,4951.6,1651.0,False,True,0,1,0.64,-1,62.20000000000073,False,False,False,False,True,A_old_040
2026-02-17 13:00:00+00:00,4951.3,4953.0,4930.7,4939.2,3090.0,True,True,-1,-1,0.543,1,-22.199999999999818,False,False,True,False,False,A_old_040
2026-02-18 00:00:00+00:00,4876.0,4890.0,4875.8,4886.9,952.0,False,True,0,-1,1.3960000000000001,1,18.300000000000182,True,False,True,False,True,A_old_040
2026-02-18 00:30:00+00:00,4886.8,4901.2,4885.8,4891.8,785.0,True,True,1,1,0.543,-1,-16.199999999999818,False,False,True,False,False,A_old_040
2026-02-18 01:00:00+00:00,4891.8,4909.8,4891.8,4905.2,1446.0,True,True,1,1,0.543,-1,-13.800000000000182,False,False,True,False,False,A_old_040
2026-02-18 01:30:00+00:00,4904.5,4911.7,4900.3,4908.0,663.0,True,True,1,1,0.543,-1,-15.800000000000182,False,False,True,False,False,A_old_040
2026-02-19 08:00:00+00:00,5028.0,5033.4,5023.9,5033.4,1272.0,False,True,0,-1,1.183,1,-13.899999999999636,False,False,True,False,True,A_old_040
2026-02-19 10:30:00+00:00,5006.0,5014.8,5000.7,5013.0,1919.0,False,True,0,-1,1.183,1,-9.699999999999818,False,False,True,False,True,A_old_040
2026-02-20 01:30:00+00:00,5018.0,5022.1,5012.9,5015.4,706.0,True,True,-1,-1,0.756,1,-1.699999999999818,True,False,True,False,False,A_old_040
2026-02-20 02:00:00+00:00,5015.5,5025.7,5010.6,5015.4,1091.0,False,True,0,-1,0.8170000000000001,1,-5.399999999999636,False,True,True,False,False,A_old_040
2026-02-20 07:30:00+00:00,5034.5,5036.7,5024.6,5025.3,1817.0,True,True,-1,-1,0.543,1,23.399999999999636,False,False,True,False,False,A_old_040
2026-02-20 19:30:00+00:00,5092.7,5104.6,5092.7,5102.4,1887.0,False,True,0,1,0.543,-1,-17.300000000000182,False,False,True,False,False,A_old_040
2026-02-20 21:00:00+00:00,5119.6,5121.7,5114.3,5120.9,1708.0,True,True,1,1,0.8170000000000001,-1,-47.20000000000073,False,True,True,False,False,A_old_040
2026-02-23 10:00:00+00:00,5170.4,5177.3,5167.1,5176.6,2670.0,True,True,1,1,0.8170000000000001,-1,5.5,False,True,True,False,False,A_old_040
2026-02-23 12:30:00+00:00,5171.1,5186.4,5170.1,5185.0,2644.0,True,True,1,1,0.543,-1,18.800000000000182,False,False,True,False,False,A_old_040
2026-02-24 08:00:00+00:00,5198.6,5199.0,5184.5,5189.9,2533.0,True,True,-1,-1,0.543,1,-2.7999999999992724,False,False,True,False,False,A_old_040
