date,source,file_path,file_size_MB,row_count,first_ts_UTC,last_ts_UTC,coverage_hours,front_symbol
2025-08-15,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250815.mbp-10.csv.zst,58.94,78738,2025-08-15T00:00:02.381042423+00:00,2025-08-15T20:59:57.969487291+00:00,21.0,GCZ5
2025-08-17,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250817.mbp-10.csv.zst,6.43,4808,2025-08-17T22:00:00.169266508+00:00,2025-08-17T23:59:38.336489747+00:00,1.99,GCZ5
2025-08-18,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250818.mbp-10.csv.zst,54.7,73084,2025-08-18T00:00:00.526986850+00:00,2025-08-18T23:59:57.000457356+00:00,24.0,GCZ5
2025-08-19,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250819.mbp-10.csv.zst,61.24,85660,2025-08-19T00:00:05.328778460+00:00,2025-08-19T23:59:55.918750775+00:00,24.0,GCZ5
2025-08-20,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250820.mbp-10.csv.zst,62.38,82363,2025-08-20T00:00:00.733682211+00:00,2025-08-20T23:59:54.981724214+00:00,24.0,GCZ5
2025-08-21,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250821.mbp-10.csv.zst,58.36,77197,2025-08-21T00:00:00.133665498+00:00,2025-08-21T23:58:50.755229465+00:00,23.98,GCZ5
2025-08-22,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250822.mbp-10.csv.zst,73.82,111737,2025-08-22T00:00:09.001048364+00:00,2025-08-22T20:59:59.705744778+00:00,21.0,GCZ5
2025-08-24,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250824.mbp-10.csv.zst,1.74,2993,2025-08-24T22:00:00.159678844+00:00,2025-08-24T23:59:55.371168565+00:00,2.0,GCZ5
2025-08-25,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250825.mbp-10.csv.zst,45.78,62494,2025-08-25T00:00:00.436968531+00:00,2025-08-25T23:59:42.326586299+00:00,23.99,GCZ5
2025-08-26,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250826.mbp-10.csv.zst,73.44,102656,2025-08-26T00:00:00.007935282+00:00,2025-08-26T23:59:55.787516875+00:00,24.0,GCZ5
2025-08-27,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250827.mbp-10.csv.zst,67.68,90738,2025-08-27T00:00:00.522234633+00:00,2025-08-27T23:59:56.246684653+00:00,24.0,GCZ5
2025-08-28,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250828.mbp-10.csv.zst,77.59,91732,2025-08-28T00:00:00.347911030+00:00,2025-08-28T23:59:58.292265701+00:00,24.0,GCZ5
2025-08-29,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250829.mbp-10.csv.zst,75.21,104779,2025-08-29T00:00:00.562930217+00:00,2025-08-29T20:59:57.273531050+00:00,21.0,GCZ5
2025-08-31,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250831.mbp-10.csv.zst,2.22,3698,2025-08-31T22:00:00.271302771+00:00,2025-08-31T23:59:57.022627388+00:00,2.0,GCZ5
2025-09-01,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250901.mbp-10.csv.zst,64.89,79887,2025-09-01T00:00:00.368653642+00:00,2025-09-01T23:59:56.524076391+00:00,24.0,GCZ5
2025-09-02,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250902.mbp-10.csv.zst,127.52,147169,2025-09-02T00:00:01.329998699+00:00,2025-09-02T23:59:57.291586255+00:00,24.0,GCZ5
