bars_dh_gt_5,date,day_dH_m30,day_dL_m30,m30_bars,max_dh_m30,max_dl_m30,mean_dh_m30,pq_H_m30,raw_H_m30,status
13,2026-02-26,0.3999999999996362,-12.75,46,28.5,22.099999999999454,5.9032608695652415,5221.5,5221.9,OK
1,2026-02-27,0.4499999999998181,-0.8000000000001819,44,10.0,5.199999999999818,0.5579545454545496,5298.55,5299.0,OK
,2026-03-01,,,,,,,,,PQ_EMPTY_M30
0,2026-03-02,0.3500000000003638,-2.1500000000005457,46,2.100000000000364,4.75,0.5217391304348024,5433.75,5434.1,OK
0,2026-03-03,-0.0500000000001819,-0.25,16,2.100000000000364,2.5499999999992724,0.537499999999909,5394.25,5394.2,OK
0,2026-03-04,0.9000000000005457,-0.8000000000001819,15,0.9000000000005457,3.800000000000182,0.3400000000000849,5176.9,5177.8,OK
1,2026-03-05,0.1500000000005457,-0.8500000000003638,46,6.300000000000182,6.100000000000364,0.45326086956530437,5204.15,5204.3,OK
11,2026-03-06,1.050000000000182,-1.0,44,43.44999999999982,35.150000000000546,8.655681818181785,5183.95,5185.0,OK
,2026-03-08,,,,,,,,,PQ_EMPTY_M30
0,2026-03-09,1.4999999999990905,-0.4000000000005457,40,1.4999999999990905,2.600000000000364,0.3112499999998818,5153.200000000001,5154.7,OK
,2026-03-15,,,,,,,,,PQ_EMPTY_M30
0,2026-03-16,0.6000000000003638,-0.1999999999998181,46,3.149999999999636,2.550000000000182,0.3945652173913162,5043.9,5044.5,OK
0,2026-03-17,0.2999999999992724,-0.75,46,2.6500000000005457,10.74999999999909,0.3086956521737707,5049.1,5049.4,OK
0,2026-03-18,1.199999999999818,-1.3500000000003638,46,1.199999999999818,1.4500000000007276,0.3673913043477391,5020.8,5022.0,OK
6,2026-03-19,0.4000000000005457,-0.6499999999996362,46,41.19999999999982,14.550000000000182,4.138043478260739,4868.299999999999,4868.7,OK
0,2026-03-20,1.3999999999996362,-0.6500000000005457,42,1.7499999999990905,1.949999999999818,0.36190476190471427,4736.8,4738.2,OK
0,2026-03-23,0.3000000000001819,-0.1000000000003638,12,0.6500000000005457,0.7499999999990905,0.3749999999998484,4469.2,4469.5,OK
