box_id,bars,first_ts,bias_native
5109,10,2026-02-10 23:30:00+00:00,bullish
5111,25,2026-02-11 23:30:00+00:00,bearish
5112,5,2026-02-12 13:30:00+00:00,unknown
5113,4,2026-02-13 01:00:00+00:00,unknown
5114,5,2026-02-13 14:00:00+00:00,unknown
5115,2,2026-02-13 19:00:00+00:00,bullish
5116,14,2026-02-16 00:30:00+00:00,unknown
5117,2,2026-02-16 08:00:00+00:00,bullish
5118,2,2026-02-16 09:30:00+00:00,bullish
5119,12,2026-02-16 12:00:00+00:00,bearish
5122,1,2026-02-17 04:30:00+00:00,bearish
5123,3,2026-02-17 12:00:00+00:00,unknown
5124,13,2026-02-17 23:30:00+00:00,unknown
5125,13,2026-02-18 08:00:00+00:00,unknown
5126,13,2026-02-19 06:30:00+00:00,unknown
5128,2,2026-02-19 20:30:00+00:00,bullish
5129,20,2026-02-20 00:30:00+00:00,unknown
5130,2,2026-02-20 19:30:00+00:00,bullish
5131,2,2026-02-20 21:00:00+00:00,bullish
5132,2,2026-02-23 06:00:00+00:00,bearish
5133,15,2026-02-23 07:30:00+00:00,unknown
5134,4,2026-02-23 20:00:00+00:00,bullish
5136,2,2026-02-24 04:30:00+00:00,bearish
5137,5,2026-02-24 07:00:00+00:00,unknown
5138,3,2026-02-24 12:00:00+00:00,bearish
5139,3,2026-02-24 17:30:00+00:00,bullish
5140,2,2026-02-24 19:30:00+00:00,bearish
5141,7,2026-02-25 01:00:00+00:00,unknown
5142,4,2026-02-25 05:30:00+00:00,bullish
5143,8,2026-02-25 10:00:00+00:00,bearish
5144,5,2026-02-25 20:30:00+00:00,unknown
5145,5,2026-02-26 00:00:00+00:00,unknown
5146,19,2026-02-26 08:00:00+00:00,unknown
5148,3,2026-02-26 19:00:00+00:00,bullish
5149,3,2026-02-26 21:00:00+00:00,bullish
5150,9,2026-02-27 00:00:00+00:00,unknown
5151,4,2026-02-27 07:00:00+00:00,unknown
5152,6,2026-02-27 10:00:00+00:00,unknown
5154,1,2026-02-27 22:00:00+00:00,bullish
5155,5,2026-03-02 14:00:00+00:00,unknown
5156,2,2026-03-02 19:30:00+00:00,bullish
5157,7,2026-03-03 00:30:00+00:00,bullish
5159,1,2026-03-03 05:30:00+00:00,bearish
5160,2,2026-03-04 18:00:00+00:00,bearish
5161,24,2026-03-04 23:30:00+00:00,bullish
5163,1,2026-03-05 13:30:00+00:00,bearish
5164,9,2026-03-05 23:00:00+00:00,bullish
5165,3,2026-03-06 06:00:00+00:00,bearish
5166,4,2026-03-06 15:00:00+00:00,unknown
5167,4,2026-03-06 20:00:00+00:00,bullish
5168,6,2026-03-09 05:30:00+00:00,bullish
5169,3,2026-03-09 10:30:00+00:00,unknown
5170,3,2026-03-09 15:30:00+00:00,unknown
5171,1,2026-03-16 00:00:00+00:00,unknown
5172,2,2026-03-16 04:00:00+00:00,bullish
5173,13,2026-03-16 13:30:00+00:00,unknown
5174,4,2026-03-17 01:30:00+00:00,unknown
5175,15,2026-03-17 04:00:00+00:00,unknown
5176,8,2026-03-17 13:30:00+00:00,unknown
5177,9,2026-03-18 06:30:00+00:00,unknown
5178,3,2026-03-18 16:30:00+00:00,bullish
5180,5,2026-03-19 01:30:00+00:00,bullish
5181,2,2026-03-19 04:30:00+00:00,bearish
5182,1,2026-03-19 06:00:00+00:00,bearish
5184,5,2026-03-19 18:30:00+00:00,bullish
5185,3,2026-03-20 01:30:00+00:00,bullish
5186,2,2026-03-20 05:30:00+00:00,bearish
5187,4,2026-03-23 17:30:00+00:00,bearish
