timestamp,asset,direction,decision,lots,entry,sl,tp1,tp2,result,pnl,gate_score,leg1_ticket,leg2_ticket,leg3_ticket
2026-03-31T15:31:43.638852+00:00,AX1,SHORT,CONFIRMED,0.02,4609.66,4629.43,4589.43,4559.43,sl_hit,-18.51,5,1716619687,1716619689,0
2026-03-31T15:32:39.292390+00:00,AX1,SHORT,CONFIRMED,0.02,4610.54,4629.15,4589.15,4559.15,sl_hit,-16.77,5,1716622295,1716622302,0
2026-03-31T15:36:52.920278+00:00,AX1,SHORT,CONFIRMED,0.02,4616.98,4634.68,4594.68,4564.68,tp1_hit,1.4,5,1716645541,1716645570,0
2026-03-31T15:37:56.155759+00:00,AX1,SHORT,CONFIRMED,0.02,4616.8,4636.74,4596.74,4566.74,tp1_hit,2.31,5,1716649223,1716649229,0
2026-03-31T15:38:46.894676+00:00,AX1,SHORT,CONFIRMED,0.02,4617.18,4637.84,4597.84,4567.84,tp1_hit,0.54,5,1716653225,1716653244,0
2026-03-31T15:39:46.620303+00:00,AX1,SHORT,CONFIRMED,0.02,4618.35,4639.05,4599.05,4569.05,tp1_hit,4.54,5,1716656251,1716656270,0
2026-04-07T01:11:02.874038+00:00,AX1,LONG,CONFIRMED,0.02,4635.68,4616.63,4656.63,4686.63,open,0.0,3,1739310974,1739311020,0
2026-04-07T01:38:41.242606+00:00,AX1,LONG,CONFIRMED,0.02,4636.13,4616.98,4656.98,4686.98,open,0.0,3,1739480319,1739480361,0
2026-04-07T01:57:11.339922+00:00,AX1,LONG,CONFIRMED,0.02,4620.88,4597.78,4637.78,4667.78,open,0.0,2,1739630703,1739630759,0
2026-04-07T02:36:18.839776+00:00,AX1,LONG,CONFIRMED,0.02,4636.63,4616.36,4656.36,4686.36,open,0.0,4,1739787085,1739787093,0
2026-04-07T05:29:01.745557+00:00,AX1,LONG,CONFIRMED,0.02,4632.57,4612.07,4652.07,4682.07,open,0.0,6,1740293351,1740293447,0
2026-04-07T13:25:25.766421+00:00,AX1,SHORT,CONFIRMED,0.02,4660.55,4680.12,4640.12,4610.12,open,0.0,4,1742930949,1742930981,0
2026-04-07T14:12:17.282588+00:00,AX1,LONG,CONFIRMED,0.05,4624.2,4591.15,4631.15,4661.15,open,0.0,2,1743362177,1743362192,1743362250
2026-04-07T14:22:25.115995+00:00,AX1,LONG,CONFIRMED,0.05,4633.15,4598.81,4638.81,4668.81,open,0.0,3,1743459289,1743459347,1743459370
2026-04-07T14:22:33.808542+00:00,AX1,LONG,CONFIRMED,0.05,4633.15,4598.81,4638.81,4668.81,open,0.0,3,1743460551,1743460600,1743460631
2026-04-07T14:22:38.762588+00:00,AX1,LONG,CONFIRMED,0.05,4632.51,4598.81,4638.81,4668.81,open,0.0,3,1743461303,1743461360,1743461376
2026-04-07T15:01:47.839646+00:00,AX1,LONG,CONFIRMED,0.05,4633.49,4611.72,4651.72,4681.72,open,0.0,4,1743772084,1743772091,1743772100
2026-04-07T15:01:49.441334+00:00,AX1,LONG,CONFIRMED,0.05,4633.87,4612.82,4652.82,4682.82,open,0.0,4,1743772154,1743772158,1743772162
2026-04-07T15:26:36.846247+00:00,AX1,SHORT,CONFIRMED,0.05,4649.82,4669.44,4629.44,4599.44,open,0.0,2,1743952375,1743952380,1743952387
2026-04-07T15:26:44.844695+00:00,AX1,SHORT,CONFIRMED,0.05,4650.31,4668.99,4628.99,4598.99,open,0.0,2,1743952849,1743952895,1743952953
2026-04-07T15:26:55.960530+00:00,AX1,SHORT,CONFIRMED,0.05,4652.41,4669.44,4629.44,4599.44,open,0.0,2,1743954906,1743954919,1743954930
2026-04-07T15:32:50.344094+00:00,AX1,SHORT,CONFIRMED,0.05,4648.1,4673.48,4633.48,4603.48,open,0.0,2,1743990485,1743990498,1743990502
2026-04-07T15:32:57.499913+00:00,AX1,SHORT,CONFIRMED,0.05,4648.32,4673.48,4633.48,4603.48,open,0.0,2,1743991440,1743991453,1743991475
2026-04-07T15:33:03.180294+00:00,AX1,SHORT,CONFIRMED,0.05,4650.29,4673.48,4633.48,4603.48,open,0.0,2,1743993083,1743993133,1743993191
2026-04-07T15:33:22.796180+00:00,AX1,SHORT,CONFIRMED,0.05,4648.98,4668.93,4628.93,4598.93,open,0.0,2,1743994618,1743994629,1743994635
2026-04-07T15:33:29.457095+00:00,AX1,SHORT,CONFIRMED,0.05,4649.27,4668.93,4628.93,4598.93,open,0.0,2,1743994837,1743994850,1743994866
