decision_id,entry_ts,direction,entry_mode,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,mfe_pts,mae_pts
91b2c041,2026-05-07 04:46:22.336519+00:00,SHORT,,4675.7,4695.7,4655.7,4625.7,28.15,1,production_score,2026-05-07 04:47:00+00:00,SL_HIT,4695.7,-120.0,0,0.0,30.5
d92338b4,2026-05-07 04:47:42.183200+00:00,SHORT,,4673.8,4693.8,4653.8,4623.8,28.15,1,production_score,2026-05-07 04:48:00+00:00,SL_HIT,4693.8,-120.0,0,0.0,31.399999999999636
1fa4294f,2026-05-07 04:49:20.428977+00:00,SHORT,,4673.65,4693.65,4653.65,4623.65,28.15,1,production_score,2026-05-07 04:50:00+00:00,SL_HIT,4693.65,-120.0,0,0.0,30.75
fb0a507d,2026-05-07 04:50:54.485406+00:00,SHORT,,4673.2,4693.2,4653.2,4623.2,28.15,1,production_score,2026-05-07 04:51:00+00:00,SL_HIT,4693.2,-120.0,0,0.0,31.699999999999818
99e5fe4d,2026-05-07 04:51:02.751703+00:00,SHORT,,4673.2,4693.2,4653.2,4623.2,28.15,1,production_score,2026-05-07 05:01:00+00:00,SL_HIT,4693.2,-120.0,9,0.0,33.30000000000018
55613183,2026-05-07 05:03:28.805621+00:00,SHORT,,4678.0,4698.0,4658.0,4628.0,28.15,1,production_score,2026-05-07 05:04:00+00:00,SL_HIT,4698.0,-120.0,0,0.0,30.899999999999636
c2f4236d,2026-05-07 05:04:31.456570+00:00,SHORT,,4678.1,4698.1,4658.1,4628.1,28.15,1,production_score,2026-05-07 05:05:00+00:00,SL_HIT,4698.1,-120.0,0,0.0,30.299999999999272
3534599c,2026-05-07 05:05:33.606275+00:00,SHORT,,4677.0,4697.0,4657.0,4627.0,28.15,1,production_score,2026-05-07 05:13:00+00:00,SL_HIT,4697.0,-120.0,7,0.0,32.399999999999636
3c9b1b81,2026-05-07 05:18:41.367049+00:00,SHORT,,4674.55,4694.55,4654.55,4624.55,28.15,1,production_score,2026-05-07 05:19:00+00:00,SL_HIT,4694.55,-120.0,0,0.0,31.349999999999454
7e78da79,2026-05-07 05:19:50.759672+00:00,SHORT,,4674.65,4694.65,4654.65,4624.65,28.15,1,production_score,2026-05-07 05:20:00+00:00,SL_HIT,4694.65,-120.0,0,0.0,29.850000000000364
7d757976,2026-05-07 05:21:01.689785+00:00,SHORT,,4672.3,4692.3,4652.3,4622.3,28.15,1,production_score,2026-05-07 05:22:00+00:00,SL_HIT,4692.3,-120.0,0,0.0,32.80000000000018
b2410fbc,2026-05-07 05:22:06.752217+00:00,SHORT,,4673.7,4693.7,4653.7,4623.7,28.15,1,production_score,2026-05-07 05:23:00+00:00,SL_HIT,4693.7,-120.0,0,0.0,31.600000000000364
d939a943,2026-05-07 05:23:14.872141+00:00,SHORT,,4673.45,4693.45,4653.45,4623.45,28.15,1,production_score,2026-05-07 05:24:00+00:00,SL_HIT,4693.45,-120.0,0,0.0,32.650000000000546
43135c5d,2026-05-07 05:24:20.016469+00:00,SHORT,,4674.8,4694.8,4654.8,4624.8,28.15,1,production_score,2026-05-07 05:28:00+00:00,SL_HIT,4694.8,-120.0,3,0.0,29.800000000000182
ad38e4ae,2026-05-07 05:28:50.318644+00:00,SHORT,,4672.4,4692.4,4652.4,4622.4,28.15,1,production_score,2026-05-07 05:37:00+00:00,SL_HIT,4692.4,-120.0,8,0.0,41.70000000000073
11e145a3,2026-05-07 05:40:15.309677+00:00,SHORT,OVEREXTENSION,4682.7,4702.7,4662.7,4632.7,28.15,1,production_score,2026-05-07 05:41:00+00:00,SL_HIT,4702.7,-120.0,0,0.0,30.300000000000182
7f126c40,2026-05-07 05:42:29.072826+00:00,SHORT,,4681.4,4701.4,4661.4,4631.4,28.15,1,production_score,2026-05-07 05:43:00+00:00,SL_HIT,4701.4,-120.0,0,0.0,32.900000000000546
9a8e8950,2026-05-07 05:43:50.770771+00:00,SHORT,,4682.75,4702.75,4662.75,4632.75,28.15,1,production_score,2026-05-07 05:44:00+00:00,SL_HIT,4702.75,-120.0,0,0.0,31.25
eb05528c,2026-05-07 06:04:18.540287+00:00,LONG,,4683.25,4702.3,4686.36,4689.09,3.89,1,production_score,2026-05-07 06:05:00+00:00,TP1_THEN_TP2,4689.09,26.849999999999454,0,31.050000000000182,0.0
e89fdd1f,2026-05-07 06:06:20.254355+00:00,LONG,,4683.95,4702.3,4686.94,4689.55,3.73,1,production_score,2026-05-07 06:07:00+00:00,TP1_THEN_TP2,4689.55,25.770000000000437,0,31.650000000000546,0.0
1c67bfee,2026-05-07 06:08:22.819490+00:00,LONG,,4683.0,4663.0,4705.52,4725.22,28.15,1,production_score,2026-05-07 06:29:00+00:00,TP1_THEN_TP2,4725.22,194.22000000000207,20,43.600000000000364,0.0
f4d9d9f9,2026-05-07 07:50:29.584187+00:00,LONG,CONTINUATION,4717.95,4697.95,4758.55,4794.07,50.75,1,production_score,2026-05-07 08:15:00+00:00,TP1_THEN_BE,4751.6,222.75000000000273,24,45.650000000000546,0.0
4cd40b34,2026-05-07 08:17:28.936630+00:00,LONG,,4719.1,4699.1,4736.1,4750.98,21.25,1,production_score,2026-05-07 08:28:00+00:00,TP1_THEN_TP2,4750.98,146.6399999999976,10,33.099999999999454,0.0
66cbbec9,2026-05-07 08:28:00.672402+00:00,LONG,,4717.45,4697.45,4737.45,4767.45,5.81,1,production_score,2026-05-07 09:00:00+00:00,TP1_THEN_BE,4738.8,124.05000000000109,31,34.850000000000364,0.0
f720b3f9,2026-05-07 09:00:04.180876+00:00,LONG,PULLBACK,4711.0,4691.0,4731.0,4761.0,22.1,1,production_score,2026-05-07 09:57:00+00:00,TP1_THEN_BE,4736.5,136.5,56,38.0,0.0
0df69469,2026-05-07 10:08:20.995406+00:00,LONG,,4711.4,4691.4,4731.4,4761.4,16.4,1,production_score,2026-05-07 11:17:00+00:00,TP1_THEN_BE,4737.3,137.70000000000164,68,37.900000000000546,0.0
c87a1b3c,2026-05-07 13:05:23.135827+00:00,LONG,,4717.55,4697.55,4737.55,4767.55,19.65,1,production_score,2026-05-07 13:34:00+00:00,TP1_THEN_TP2,4767.55,210.0,28,50.94999999999982,0.0
c19b3ae1,2026-05-07 13:46:42.024490+00:00,LONG,,4724.65,4704.65,4744.65,4774.65,26.9,1,production_score,2026-05-07 15:00:00+00:00,TP1_THEN_TP2,4774.65,210.0,73,50.350000000000364,0.0
09b7c2ff,2026-05-07 17:58:32.757994+00:00,SHORT,,4691.1,4711.1,4671.1,4641.1,18.75,1,production_score,2026-05-07 17:59:00+00:00,SL_HIT,4711.1,-120.0,0,0.0,31.0
3aec3ed1,2026-05-07 17:59:03.464978+00:00,SHORT,,4691.7,4711.7,4671.7,4641.7,7.46,1,production_score,2026-05-07 18:00:00+00:00,SL_HIT,4711.7,-120.0,0,0.0,30.600000000000364
48147173,2026-05-07 18:01:10.715559+00:00,SHORT,PULLBACK,4691.55,4711.55,4671.55,4641.55,17.9,1,production_score,2026-05-07 18:02:00+00:00,SL_HIT,4711.55,-120.0,0,0.0,29.75
cb8ac491,2026-05-07 18:04:10.620525+00:00,SHORT,,4691.1,4711.1,4671.1,4641.1,17.5,1,production_score,2026-05-07 18:05:00+00:00,SL_HIT,4711.1,-120.0,0,0.0,27.5
c41936de,2026-05-07 18:05:03.932936+00:00,SHORT,,4691.0,4711.0,4671.0,4641.0,17.3,1,production_score,2026-05-07 18:06:00+00:00,SL_HIT,4711.0,-120.0,0,0.0,29.199999999999818
774543bf,2026-05-07 18:11:52.802274+00:00,SHORT,,4690.8,4710.8,4670.8,4640.8,17.3,1,production_score,2026-05-07 18:12:00+00:00,SL_HIT,4710.8,-120.0,0,0.0,27.300000000000182
49220893,2026-05-07 18:12:02.236968+00:00,SHORT,,4689.75,4709.75,4669.75,4639.75,7.8,1,production_score,2026-05-07 18:13:00+00:00,SL_HIT,4709.75,-120.0,0,0.0,29.449999999999818
24880ec5,2026-05-07 18:13:00.959354+00:00,SHORT,PULLBACK,4690.25,4710.25,4670.25,4640.25,17.3,1,production_score,2026-05-07 18:14:00+00:00,SL_HIT,4710.25,-120.0,0,0.0,28.75
4cc5890c,2026-05-07 18:14:59.670454+00:00,SHORT,,4690.8,4710.8,4670.8,4640.8,17.3,1,production_score,2026-05-07 18:15:00+00:00,SL_HIT,4710.8,-120.0,0,0.0,28.699999999999818
