min_bars,window,strategy,n_total,n_blocked,block_rate,n_survive_scored,acc_mean_boot,acc_ci_lo,acc_ci_hi,block_mean_boot,block_ci_lo,block_ci_hi
6,2,majority,37234,622,0.016705161948756514,36612,0.487208695683432,0.48232568564083966,0.49213855777263976,0.01670607509265725,0.015362303271203739,0.01807554922919912
6,4,majority,37234,622,0.016705161948756514,36612,0.487208695683432,0.48232568564083966,0.49213855777263976,0.01670607509265725,0.015362303271203739,0.01807554922919912
4,5,recency_weighted,37234,17837,0.4790514046301767,19397,0.4867325271843541,0.4800833352995018,0.4938834980778582,0.47906612236128265,0.4740022560025783,0.4840757103722404
4,3,majority,37234,4421,0.1187355642692163,32813,0.48634367774863724,0.48129910686109195,0.491566545231303,0.11877257345436966,0.11559126067572649,0.12206652521888597
5,5,majority,37234,872,0.023419455336520383,36362,0.48458686594101535,0.479622954679365,0.4895731884027189,0.023418542192619646,0.02186106784122039,0.025004700005371434
6,3,majority,37234,872,0.023419455336520383,36362,0.48458686594101535,0.479622954679365,0.4895731884027189,0.023418542192619646,0.02186106784122039,0.025004700005371434
6,5,majority,37234,872,0.023419455336520383,36362,0.48458686594101535,0.479622954679365,0.4895731884027189,0.023418542192619646,0.02186106784122039,0.025004700005371434
3,6,recency_weighted,37234,17437,0.4683085352097545,19797,0.4844852475004814,0.47772431607005456,0.49128408407861424,0.4683320889509588,0.4635004297147768,0.4736269270022023
3,6,majority,37234,1790,0.048074340656389325,35444,0.4840327741288903,0.479080070203639,0.4889641466333309,0.04805253263146587,0.04576462373099855,0.05025044314336359
2,8,majority,37234,223,0.005989149701885374,37011,0.4818502203904992,0.4769237827475548,0.4868794280891453,0.006011817156362465,0.005183434495353709,0.006794864908417038
3,8,majority,37234,223,0.005989149701885374,37011,0.4818502203904992,0.4769237827475548,0.4868794280891453,0.006011817156362465,0.005183434495353709,0.006794864908417038
4,7,majority,37234,223,0.005989149701885374,37011,0.4818502203904992,0.4769237827475548,0.4868794280891453,0.006011817156362465,0.005183434495353709,0.006794864908417038
4,8,majority,37234,223,0.005989149701885374,37011,0.4818502203904992,0.4769237827475548,0.4868794280891453,0.006011817156362465,0.005183434495353709,0.006794864908417038
4,6,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
5,6,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
5,7,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
5,8,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
6,6,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
6,7,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
6,8,majority,37234,0,0.0,37234,0.48169852822688936,0.47684777354031266,0.4866788419186765,0.0,0.0,0.0
